crime_date_time,location,district,neighborhood,premise,year,month,date,time_range,quarter,longitude,latitude,victims,average_age,juvenile_victims,id,near_western_near,geometry,color
2022-05-01T10:43:12Z,900 Druid Hill Ave,Central,Heritage Crossing,Street,2022,5,2022-05-01,Morning,2,-76.6243,39.2985,1,39,0,6020,TRUE,"c(-76.6243, 39.2985)",#00d3ff
2022-05-01T17:16:38Z,900 Pennsylvania Ave,Central,Heritage Crossing,Dwelling,2022,5,2022-05-01,Evening,2,-76.6264,39.2969,1,38,0,6021,TRUE,"c(-76.6264, 39.2969)",#00d3ff
2022-05-01T23:30:00Z,1000 Mcculloh St,Central,Upton,Street,2022,5,2022-05-01,Night,2,-76.6249,39.3002,1,41,0,6022,TRUE,"c(-76.6249, 39.3002)",#00d3ff
2022-05-06T12:49:33Z,900 W North Ave,Central,Reservoir Hill,Street,2022,5,2022-05-06,Early Afternoon,2,-76.6325,39.3106,2,40.5,0,6032,TRUE,"c(-76.6325, 39.3106)",#00d3ff
2022-05-08T19:21:55Z,300 Furrow St,Southwestern,Carrollton Ridge,Vacant Dwelling,2022,5,2022-05-08,Evening,2,-76.6518,39.2835,1,35,0,6033,TRUE,"c(-76.6518, 39.2835)",#0065d1
2022-05-12T09:10:27Z,100 S Carrollton Ave,Southern,Hollins Market,Street,2022,5,2022-05-12,Morning,2,-76.6367,39.2863,1,33,0,6041,TRUE,"c(-76.6367, 39.2863)",#d25a3f
2022-05-12T22:40:00Z,1800 Wilhelm St,Southern,Carrollton Ridge,Vacant Dwelling,2022,5,2022-05-12,Night,2,-76.6452,39.2837,1,32,0,6044,TRUE,"c(-76.6452, 39.2837)",#d25a3f
2022-05-13T17:49:00Z,2200 Ramsay St,Southwestern,Carrollton Ridge,Street,2022,5,2022-05-13,Evening,2,-76.6513,39.283,1,NA,0,6048,TRUE,"c(-76.6513, 39.283)",#0065d1
2022-05-21T20:40:00Z,1100 Tiffany Ct,Central,Upton,Street,2022,5,2022-05-21,Night,2,-76.6255,39.3015,1,35,0,6055,TRUE,"c(-76.6255, 39.3015)",#00d3ff
2022-05-24T17:54:00Z,2900 Mosher St,Southwestern,Franklintown Road,Street,2022,5,2022-05-24,Evening,2,-76.6653,39.2993,1,28,0,6062,TRUE,"c(-76.6653, 39.2993)",#0065d1
2022-05-26T00:29:02Z,0 N Catherine St,Southwestern,Shipley Hill,Street,2022,5,2022-05-26,Early Morning,2,-76.6564,39.2881,1,59,0,6064,TRUE,"c(-76.6564, 39.2881)",#0065d1
2022-05-31T17:24:24Z,1800 Pennsylvania Ave,Central,Upton,Common Business,2022,5,2022-05-31,Evening,2,-76.6365,39.3051,1,16,1,6077,TRUE,"c(-76.6365, 39.3051)",#00d3ff
2022-06-02T02:25:43Z,300 S Pulaski St,Southwestern,Carrollton Ridge,Public Area,2022,6,2022-06-02,Early Morning,2,-76.6499,39.2838,1,28,0,6080,TRUE,"c(-76.6499, 39.2838)",#0065d1
2022-06-04T18:15:51Z,1900 Wilhelm St,Southern,Carrollton Ridge,Alley,2022,6,2022-06-04,Evening,2,-76.6469,39.2838,1,41,0,6085,TRUE,"c(-76.6469, 39.2838)",#d25a3f
2022-06-07T06:45:16Z,1900 Ramsay St,Southern,Carrollton Ridge,Street,2022,6,2022-06-07,Morning,2,-76.6467,39.2832,1,32,0,6091,TRUE,"c(-76.6467, 39.2832)",#d25a3f
2022-06-08T03:30:00Z,1800 Wilkens Ave,Southern,Carrollton Ridge,Street,2022,6,2022-06-08,Early Morning,2,-76.645,39.2827,1,30,0,6094,TRUE,"c(-76.645, 39.2827)",#d25a3f
